year,sector,industry,wage_type,annual_wage_kes,monthly_wage_kes
2019,Private,"Agriculture, forestry and fishing",nominal,369443.3,30786.941666666666
2020,Private,"Agriculture, forestry and fishing",nominal,376329.8,31360.816666666666
2021,Private,"Agriculture, forestry and fishing",nominal,377630.0,31469.166666666668
2022,Private,"Agriculture, forestry and fishing",nominal,390422.2,32535.183333333334
2023,Private,"Agriculture, forestry and fishing",nominal,405478.0,33789.833333333336
2019,Private,Mining and quarrying,nominal,631213.0,52601.083333333336
2020,Private,Mining and quarrying,nominal,649873.2,54156.1
2021,Private,Mining and quarrying,nominal,666150.1,55512.50833333333
2022,Private,Mining and quarrying,nominal,703234.0,58602.833333333336
2023,Private,Mining and quarrying,nominal,747702.7,62308.55833333333
2019,Private,Manufacturing,nominal,529912.1,44159.34166666667
2020,Private,Manufacturing,nominal,558307.6,46525.63333333333
2021,Private,Manufacturing,nominal,570371.5,47530.958333333336
2022,Private,Manufacturing,nominal,617660.2,51471.68333333333
2023,Private,Manufacturing,nominal,641731.6,53477.63333333333
2019,Private,"Electricity, gas, steam and air conditioning supply",nominal,1899820.0,158318.33333333334
2020,Private,"Electricity, gas, steam and air conditioning supply",nominal,2052500.0,171041.66666666666
2021,Private,"Electricity, gas, steam and air conditioning supply",nominal,2077242.5,173103.54166666666
2022,Private,"Electricity, gas, steam and air conditioning supply",nominal,2206161.6,183846.80000000002
2023,Private,"Electricity, gas, steam and air conditioning supply",nominal,2311934.3,192661.19166666665
2019,Private,"Water supply; sewerage, waste management and remediation activities",nominal,282240.0,23520.0
2020,Private,"Water supply; sewerage, waste management and remediation activities",nominal,290473.3,24206.108333333334
2021,Private,"Water supply; sewerage, waste management and remediation activities",nominal,294899.2,24574.933333333334
2022,Private,"Water supply; sewerage, waste management and remediation activities",nominal,310717.4,25893.11666666667
2023,Private,"Water supply; sewerage, waste management and remediation activities",nominal,330909.3,27575.774999999998
2019,Private,Construction,nominal,717755.7,59812.975
2020,Private,Construction,nominal,758453.2,63204.43333333333
2021,Private,Construction,nominal,764324.7,63693.725
2022,Private,Construction,nominal,793421.2,66118.43333333333
2023,Private,Construction,nominal,833123.0,69426.91666666667
2019,Private,Wholesale and retail trade; repair of motor vehicles and motorcycles,nominal,821477.7,68456.47499999999
2020,Private,Wholesale and retail trade; repair of motor vehicles and motorcycles,nominal,874784.6,72898.71666666666
2021,Private,Wholesale and retail trade; repair of motor vehicles and motorcycles,nominal,892517.3,74376.44166666667
2022,Private,Wholesale and retail trade; repair of motor vehicles and motorcycles,nominal,942160.6,78513.38333333333
2023,Private,Wholesale and retail trade; repair of motor vehicles and motorcycles,nominal,1007700.9,83975.075
2019,Private,Transportation and storage,nominal,1502417.0,125201.41666666667
2020,Private,Transportation and storage,nominal,1517948.8,126495.73333333334
2021,Private,Transportation and storage,nominal,1548117.5,129009.79166666667
2022,Private,Transportation and storage,nominal,1621448.9,135120.74166666667
2023,Private,Transportation and storage,nominal,1691175.8,140931.31666666668
2019,Private,Accommodation and food service activities,nominal,454070.9,37839.24166666667
2020,Private,Accommodation and food service activities,nominal,428829.9,35735.825000000004
2021,Private,Accommodation and food service activities,nominal,448724.2,37393.683333333334
2022,Private,Accommodation and food service activities,nominal,468389.1,39032.424999999996
2023,Private,Accommodation and food service activities,nominal,480172.7,40014.39166666667
2019,Private,Information and communication,nominal,1051571.8,87630.98333333334
2020,Private,Information and communication,nominal,1130713.5,94226.125
2021,Private,Information and communication,nominal,1154939.2,96244.93333333333
2022,Private,Information and communication,nominal,1216846.9,101403.90833333333
2023,Private,Information and communication,nominal,1290206.1,107517.175
2019,Private,Financial and insurance activities,nominal,1947716.7,162309.725
2020,Private,Financial and insurance activities,nominal,2052923.3,171076.94166666668
2021,Private,Financial and insurance activities,nominal,2082067.3,173505.60833333334
2022,Private,Financial and insurance activities,nominal,2180939.0,181744.91666666666
2023,Private,Financial and insurance activities,nominal,2280250.4,190020.86666666667
2019,Private,Real estate activities,nominal,310382.7,25865.225000000002
2020,Private,Real estate activities,nominal,323347.9,26945.658333333336
2021,Private,Real estate activities,nominal,327360.3,27280.024999999998
2022,Private,Real estate activities,nominal,335381.5,27948.458333333332
2023,Private,Real estate activities,nominal,352290.4,29357.533333333336
2019,Private,"Professional, scientific and technical activities",nominal,1349343.6,112445.3
2020,Private,"Professional, scientific and technical activities",nominal,1448250.2,120687.51666666666
2021,Private,"Professional, scientific and technical activities",nominal,1478672.7,123222.72499999999
2022,Private,"Professional, scientific and technical activities",nominal,1572505.4,131042.11666666665
2023,Private,"Professional, scientific and technical activities",nominal,1676106.8,139675.56666666668
2019,Private,Administrative and support service activities,nominal,1658850.1,138237.50833333333
2020,Private,Administrative and support service activities,nominal,1688308.7,140692.39166666666
2021,Private,Administrative and support service activities,nominal,1734470.2,144539.18333333332
2022,Private,Administrative and support service activities,nominal,1809730.5,150810.875
2023,Private,Administrative and support service activities,nominal,1886532.7,157211.05833333332
2019,Private,Education,nominal,996661.7,83055.14166666666
2020,Private,Education,nominal,980708.3,81725.69166666667
2021,Private,Education,nominal,1010686.8,84223.90000000001
2022,Private,Education,nominal,1044947.5,87078.95833333333
2023,Private,Education,nominal,1069430.6,89119.21666666667
2019,Private,Human health and social work activities,nominal,970509.8,80875.81666666667
2020,Private,Human health and social work activities,nominal,1052848.4,87737.36666666665
2021,Private,Human health and social work activities,nominal,1077155.3,89762.94166666667
2022,Private,Human health and social work activities,nominal,1141903.8,95158.65000000001
2023,Private,Human health and social work activities,nominal,1217894.4,101491.2
2019,Private,"Arts, entertainment and recreation",nominal,727743.2,60645.26666666666
2020,Private,"Arts, entertainment and recreation",nominal,775896.9,64658.075000000004
2021,Private,"Arts, entertainment and recreation",nominal,787216.7,65601.39166666666
2022,Private,"Arts, entertainment and recreation",nominal,824651.6,68720.96666666666
2023,Private,"Arts, entertainment and recreation",nominal,864556.5,72046.375
2019,Private,Other service activities,nominal,1053187.9,87765.65833333333
2020,Private,Other service activities,nominal,1135263.9,94605.325
2021,Private,Other service activities,nominal,1163443.3,96953.60833333334
2022,Private,Other service activities,nominal,1245120.5,103760.04166666667
2023,Private,Other service activities,nominal,1335527.5,111293.95833333333
2019,Private,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,nominal,271769.4,22647.45
2020,Private,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,nominal,292280.0,24356.666666666668
2021,Private,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,nominal,296867.8,24738.983333333334
2022,Private,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,nominal,314098.3,26174.858333333334
2023,Private,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,nominal,333619.9,27801.658333333336
2019,Private,Activities of extraterritorial organizations and bodies,nominal,3519080.0,293256.6666666667
2020,Private,Activities of extraterritorial organizations and bodies,nominal,3699960.0,308330.0
2021,Private,Activities of extraterritorial organizations and bodies,nominal,3757013.2,313084.43333333335
2022,Private,Activities of extraterritorial organizations and bodies,nominal,4009007.0,334083.9166666667
2023,Private,Activities of extraterritorial organizations and bodies,nominal,4002034.7,333502.89166666666
2019,Public,"Agriculture, forestry and fishing",nominal,479060.9,39921.74166666667
2020,Public,"Agriculture, forestry and fishing",nominal,511470.3,42622.525
2021,Public,"Agriculture, forestry and fishing",nominal,515093.2,42924.433333333334
2022,Public,"Agriculture, forestry and fishing",nominal,524004.0,43667.0
2023,Public,"Agriculture, forestry and fishing",nominal,512012.5,42667.708333333336
2019,Public,Mining and quarrying,nominal,479654.5,39971.208333333336
2020,Public,Mining and quarrying,nominal,519280.4,43273.36666666667
2021,Public,Mining and quarrying,nominal,522339.7,43528.308333333334
2022,Public,Mining and quarrying,nominal,540469.7,45039.14166666666
2023,Public,Mining and quarrying,nominal,544199.1,45349.924999999996
2019,Public,Manufacturing,nominal,986737.4,82228.11666666667
2020,Public,Manufacturing,nominal,1048868.9,87405.74166666665
2021,Public,Manufacturing,nominal,1041861.6,86821.8
2022,Public,Manufacturing,nominal,1069384.7,89115.39166666666
