,Kenya Shilling End Period Exchange Rates\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,United States dollar,Sterling pound,Euro,South Africa Rand,Uganda shilling\2,Tanzania shilling\2,Rwanda Franc,Burundi Franc,AE Dirham,Deutch Mark,Canadian dollar,French franc,Swiss franc,Dutch guilder,Italian lira,Belsium franc,Japanese yen (100),Swdish kroner,Norwegian kroner,Danish kroner,Austrian schilling,Finn marka,Spanish peseta,Indian rupee,Hong  kong dollar,Singapore dollar,Saudi riyal,Chinese Yuan,Australian dollar
1993,1,35.922,54.476,,,,,,,,22.667,28.301,6.694,24.579,20.143,2.436,1.101,28.939,4.995,5.319,5.873,3.221,6.598,31.734,1.388,,,,,
1993,2,36.456,52.212,,,,,,,,22.296,29.118,6.572,24.039,19.822,2.296,1.082,31.039,4.644,5.227,5.816,3.172,6.119,30.958,1.408,,,,,
1993,3,45.528,68.065,,,,,,,,28.153,36.414,8.293,30.468,25.056,2.843,1.367,39.06,5.92,6.619,7.332,4.001,7.757,39.439,,,,,,
1993,4,59.866,94.2,,,,,,,,37.962,47.05,11.254,42.038,33.783,4.002,1.845,53.905,8.236,8.975,9.86,5.393,11.02,51.774,,,,,,
1993,5,63.179,98.812,,,,,,,,39.873,49.704,11.806,44.618,35.54,4.324,1.939,59.073,8.827,9.388,10.404,5.658,11.787,50.458,2.013,,,,,
1993,6,65.142,98.495,,,,,,,,38.569,50.821,11.45,43.472,34.394,4.244,1.878,61.178,8.414,9.13,10.039,5.472,11.445,50.514,,,,,,
1993,7,65.253,96.757,,,,,,,,37.491,50.721,10.989,42.677,33.379,4.047,1.798,61.328,7.908,8.752,9.627,5.376,11.097,45.788,2.08,,,,,
1993,8,65.56,98.667,,,,,,,,39.411,49.712,11.257,44.705,35.057,4.121,1.849,63.22,8.145,9.061,9.61,5.59,11.189,48.577,2.09,,,,,
1993,9,66.962,101.213,,,,,,,,41.519,50.404,11.892,47.424,36.969,4.253,1.929,63.713,8.332,9.479,10.279,5.902,11.666,51.418,2.135,,,,,
1993,10,69.064,102.746,,20.543,,,,,,41.245,52.222,11.805,46.728,36.734,4.259,1.906,63.859,8.518,9.462,10.245,5.827,11.924,51.583,2.202,,,,,
1993,11,68.749,102.367,,20.415,,,,,,40.251,51.49,11.654,46.14,35.878,4.061,1.901,62.945,8.153,9.265,10.163,5.722,11.817,49.145,2.192,,,,,
1993,12,68.163,100.916,,20.054,,,,,,39.298,51.308,11.567,46.056,35.127,3.988,1.889,60.914,8.193,9.071,10.077,5.594,11.78,47.817,2.173,,,,,
1994,1,67.666,101.092,,19.829,,,,,,38.848,51.068,11.436,46.062,34.67,3.97,1.883,61.57,8.492,9.032,10.002,5.553,12.167,48.027,2.157,,,,,
1994,2,67.125,99.882,,19.336,,,,,,39.271,49.781,11.559,46.99,34.97,3.979,1.908,64.051,8.37,9.055,10.044,5.591,12.1,48.157,2.14,,,,,
1994,3,64.858,96.033,,18.705,,,,,,38.708,46.926,11.331,45.688,34.436,3.965,1.877,63.03,8.25,8.88,9.83,5.497,11.816,47.425,2.072,,,,,
1994,4,60.77,91.94,,16.964,,,,,,36.583,44.006,10.643,42.86,32.387,3.772,1.737,59.838,7.794,8.378,9.246,5.134,10.826,44.737,1.897,,,,,
1994,5,56.459,85.186,,15.486,,,,,,34.335,40.911,10.051,40.267,30.638,3.568,1.679,54.118,7.32,7.934,8.812,4.884,10.475,41.72,1.808,,,,,
1994,6,55.959,86.531,,15.382,,,,,,35.301,40.505,10.306,41.985,31.483,3.564,1.716,56.479,7.333,8.109,9.005,5.011,10.631,42.933,1.789,,,,,
